Name,Size,start_pos
FILEID,6,1
STUSAB,2,7
SUMLEV,3,9
GEOCOMP,2,12
CHARITER,3,14
CIFSN,2,17
LOGRECNO,7,19
REGION,1,26
DIVISION,1,27
STATECE,2,28
STATE,2,30
COUNTY,3,32
COUNTYSC,2,35
COUSUB,5,37
COUSUBCC,2,42
COUSUBSC,2,44
PLACE,5,46
PLACECC,2,51
PLACEDC,1,53
PLACESC,2,54
TRACT,6,56
BLKGRP,1,62
BLOCK,4,63
IUC,2,67
CONCIT,5,69
CONCITCC,2,74
CONCITSC,2,76
AIANHH,4,78
AIANHHFP,5,82
AIANHHCC,2,87
AIHHTLI,1,89
AITSCE,3,90
AITS,5,93
AITSCC,2,98
ANRC,5,100
ANRCCC,2,105
MSACMSA,4,107
MASC,2,111
CMSA,2,113
MACCI,1,115
PMSA,4,116
NECMA,4,120
NECMACCI,1,124
NECMASC,2,125
EXI,1,127
UA,5,128
UASC,2,133
UATYPE,1,135
UR,1,136
CD106,2,137
CD108,2,139
CD109,2,141
CD110,2,143
SLDU,3,145
SLDL,3,148
VTD,6,151
VTDI,1,157
ZCTA3,3,158
ZCTA5,5,161
SUBMCD,5,166
SUBMCDCC,2,171
AREALAND,14,173
AREAWATER,14,187
NAME,90,201
FUNCSTAT,1,291
GCUNI,1,292
POP100,9,293
HU100,9,302
INTPTLAT,9,311
INTPTLON,10,320
LSADC,2,330
PARTFLAG,1,332
SDELM,5,333
SDSEC,5,338
SDUNI,5,343
TAZ,6,348
UGA,5,354
PUMA5,5,359
PUMA1,5,364
RESERVE2,15,369
MACC,5,384
UACP,5,389
RESERVED,7,394
